epoch,step,test_acc,train_acc,train_loss,val_acc
0,2,,,,0.6842105388641357
1,5,,,,0.31578946113586426
2,8,,,,0.6842105388641357
3,11,,,,0.31578946113586426
4,14,,,,0.6842105388641357
5,17,,,,0.7631579041481018
6,20,,,,0.6842105388641357
7,23,,,,0.7631579041481018
8,26,,,,0.6578947305679321
9,29,,,,0.6842105388641357
10,32,,,,0.6842105388641357
11,35,,,,0.7631579041481018
12,38,,,,0.7105262875556946
13,41,,,,0.7105262875556946
14,44,,,,0.7368420958518982
15,47,,,,0.7368420958518982
16,49,,0.8125,0.3688117265701294,
16,50,,,,0.7631579041481018
17,53,,,,0.7368420958518982
18,56,,,,0.7368420958518982
19,59,,,,0.7894737124443054
20,62,,,,0.7894737124443054
21,65,,,,0.7894737124443054
22,68,,,,0.7894737124443054
23,71,,,,0.7631579041481018
24,74,,,,0.7631579041481018
25,77,,,,0.7894737124443054
26,80,,,,0.7894737124443054
27,83,,,,0.7894737124443054
28,86,,,,0.7894737124443054
29,89,,,,0.7894737124443054
30,92,,,,0.8157894611358643
31,95,,,,0.8421052694320679
32,98,,,,0.7894737124443054
33,99,,0.765625,0.379204124212265,
33,101,,,,0.7894737124443054
34,104,,,,0.8421052694320679
35,107,,,,0.8157894611358643
36,110,,,,0.7894737124443054
37,113,,,,0.8157894611358643
38,116,,,,0.7894737124443054
39,119,,,,0.8421052694320679
40,122,,,,0.8421052694320679
41,125,,,,0.8421052694320679
42,128,,,,0.8421052694320679
43,131,,,,0.8421052694320679
44,134,,,,0.8421052694320679
45,137,,,,0.8421052694320679
46,140,,,,0.8421052694320679
47,143,,,,0.8421052694320679
48,146,,,,0.8684210777282715
49,149,,0.7727272510528564,0.4352605938911438,
49,149,,,,0.8157894611358643
50,152,,,,0.8157894611358643
51,155,,,,0.8421052694320679
52,158,,,,0.8421052694320679
53,161,,,,0.8421052694320679
54,164,,,,0.8421052694320679
55,167,,,,0.8157894611358643
56,170,,,,0.8684210777282715
57,173,,,,0.8947368264198303
58,176,,,,0.8947368264198303
59,179,,,,0.8684210777282715
60,182,,,,0.8947368264198303
61,185,,,,0.8421052694320679
62,188,,,,0.7894737124443054
63,191,,,,0.8421052694320679
64,194,,,,0.7368420958518982
65,197,,,,0.8157894611358643
66,199,,0.828125,0.3627932667732239,
66,200,,,,0.8421052694320679
67,203,,,,0.8684210777282715
68,206,,,,0.8947368264198303
69,209,,,,0.8157894611358643
70,212,,,,0.8947368264198303
71,215,,,,0.8421052694320679
72,218,,,,0.8947368264198303
73,221,,,,0.8947368264198303
74,224,,,,0.8157894611358643
75,227,,,,0.8947368264198303
76,230,,,,0.8684210777282715
77,233,,,,0.8684210777282715
78,236,,,,0.8684210777282715
79,239,,,,0.8947368264198303
80,242,,,,0.8157894611358643
81,245,,,,0.8157894611358643
82,248,,,,0.8157894611358643
83,249,,0.921875,0.1723320186138153,
83,251,,,,0.8421052694320679
84,254,,,,0.8157894611358643
85,257,,,,0.8157894611358643
86,260,,,,0.8684210777282715
87,263,,,,0.8684210777282715
88,266,,,,0.8947368264198303
89,269,,,,0.8684210777282715
90,272,,,,0.8684210777282715
91,275,,,,0.8684210777282715
92,278,,,,0.8684210777282715
93,281,,,,0.8947368264198303
94,284,,,,0.8684210777282715
95,287,,,,0.8684210777282715
96,290,,,,0.8157894611358643
97,293,,,,0.8157894611358643
98,296,,,,0.8684210777282715
99,299,,0.9545454382896423,0.10584397614002228,
99,299,,,,0.8947368264198303
100,302,,,,0.8947368264198303
101,305,,,,0.8947368264198303
102,308,,,,0.8947368264198303
103,311,,,,0.8947368264198303
104,314,,,,0.8157894611358643
105,317,,,,0.8947368264198303
106,320,,,,0.8684210777282715
107,323,,,,0.8421052694320679
108,326,,,,0.8684210777282715
109,329,,,,0.8421052694320679
110,332,,,,0.8157894611358643
111,335,,,,0.8947368264198303
112,338,,,,0.8157894611358643
113,341,,,,0.8684210777282715
114,344,,,,0.8684210777282715
115,347,,,,0.8421052694320679
116,349,,0.921875,0.20971105992794037,
116,350,,,,0.8684210777282715
117,353,,,,0.8684210777282715
118,356,,,,0.8947368264198303
119,359,,,,0.8421052694320679
120,362,,,,0.8421052694320679
121,365,,,,0.8421052694320679
122,368,,,,0.8421052694320679
123,371,,,,0.8684210777282715
124,374,,,,0.8421052694320679
125,377,,,,0.8684210777282715
126,380,,,,0.8421052694320679
127,383,,,,0.8421052694320679
128,386,,,,0.8157894611358643
129,389,,,,0.8157894611358643
130,392,,,,0.8157894611358643
131,395,,,,0.7894737124443054
132,398,,,,0.8684210777282715
133,399,,0.9375,0.24550989270210266,
133,401,,,,0.8421052694320679
134,404,,,,0.8421052694320679
135,407,,,,0.8684210777282715
136,410,,,,0.8421052694320679
137,413,,,,0.8421052694320679
138,416,,,,0.8684210777282715
139,419,,,,0.8421052694320679
140,422,,,,0.8421052694320679
141,425,,,,0.8421052694320679
142,428,,,,0.8157894611358643
143,431,,,,0.7894737124443054
144,434,,,,0.8421052694320679
145,437,,,,0.8684210777282715
146,440,,,,0.8684210777282715
147,443,,,,0.8684210777282715
148,446,,,,0.8157894611358643
149,449,,0.9090909361839294,0.10766351968050003,
149,449,,,,0.8684210777282715
150,452,,,,0.8421052694320679
151,455,,,,0.7894737124443054
152,458,,,,0.8684210777282715
153,461,,,,0.8421052694320679
154,464,,,,0.8157894611358643
155,467,,,,0.8157894611358643
156,470,,,,0.7894737124443054
157,473,,,,0.8947368264198303
158,476,,,,0.8421052694320679
159,479,,,,0.8421052694320679
160,482,,,,0.8421052694320679
161,485,,,,0.8684210777282715
162,488,,,,0.8684210777282715
163,491,,,,0.8684210777282715
164,494,,,,0.7894737124443054
165,497,,,,0.7894737124443054
166,499,,0.875,0.20116259157657623,
166,500,,,,0.8684210777282715
167,503,,,,0.8157894611358643
168,506,,,,0.8157894611358643
169,509,,,,0.7894737124443054
170,512,,,,0.8157894611358643
171,515,,,,0.7631579041481018
172,518,,,,0.8157894611358643
173,521,,,,0.8157894611358643
174,524,,,,0.7894737124443054
175,527,,,,0.8157894611358643
176,530,,,,0.8157894611358643
177,533,,,,0.8157894611358643
178,536,,,,0.8684210777282715
179,539,,,,0.8684210777282715
180,542,,,,0.8421052694320679
181,545,,,,0.8157894611358643
182,548,,,,0.7894737124443054
183,549,,0.890625,0.14303313195705414,
183,551,,,,0.8157894611358643
184,554,,,,0.8157894611358643
185,557,,,,0.7894737124443054
186,560,,,,0.7894737124443054
187,563,,,,0.8421052694320679
188,566,,,,0.8684210777282715
189,569,,,,0.8157894611358643
190,572,,,,0.8684210777282715
