epoch,step,test_acc,train_acc,train_loss,val_acc
0,9,,,,0.6842105388641357
1,19,,,,0.7368420958518982
2,29,,,,0.7368420958518982
3,39,,,,0.7368420958518982
4,49,,1.0,0.019494960084557533,
4,49,,,,0.7105262875556946
5,59,,,,0.8157894611358643
6,69,,,,0.6052631735801697
7,79,,,,0.6842105388641357
8,89,,,,0.8157894611358643
9,99,,0.8333333134651184,0.48327943682670593,
9,99,,,,0.8157894611358643
10,109,,,,0.6842105388641357
11,119,,,,0.7631579041481018
12,129,,,,0.7631579041481018
13,139,,,,0.8157894611358643
14,149,,0.8333333134651184,0.3812241554260254,
14,149,,,,0.8157894611358643
15,159,,,,0.8421052694320679
16,169,,,,0.6842105388641357
17,179,,,,0.8684210777282715
18,189,,,,0.8684210777282715
19,199,,1.0,0.03648913651704788,
19,199,,,,0.8684210777282715
20,209,,,,0.8157894611358643
21,219,,,,0.7631579041481018
22,229,,,,0.8684210777282715
23,239,,,,0.6842105388641357
24,249,,1.0,0.06073034927248955,
24,249,,,,0.8684210777282715
25,259,,,,0.8684210777282715
26,269,,,,0.8684210777282715
27,279,,,,0.8421052694320679
28,289,,,,0.8157894611358643
29,299,,0.6666666865348816,0.43538331985473633,
29,299,,,,0.7105262875556946
30,309,,,,0.8421052694320679
31,319,,,,0.7368420958518982
32,329,,,,0.7631579041481018
33,339,,,,0.8421052694320679
34,349,,1.0,0.025994671508669853,
34,349,,,,0.8684210777282715
35,359,,,,0.7105262875556946
36,369,,,,0.8684210777282715
37,379,,,,0.8421052694320679
38,389,,,,0.8684210777282715
39,399,,1.0,0.05443492531776428,
39,399,,,,0.8684210777282715
40,409,,,,0.8684210777282715
41,419,,,,0.8684210777282715
42,429,,,,0.8684210777282715
43,439,,,,0.8684210777282715
44,449,,1.0,0.1010400578379631,
44,449,,,,0.8421052694320679
45,459,,,,0.8684210777282715
46,469,,,,0.8684210777282715
47,479,,,,0.8421052694320679
48,489,,,,0.8684210777282715
49,499,,0.8333333134651184,0.19186286628246307,
49,499,,,,0.8421052694320679
50,509,,,,0.8684210777282715
51,519,,,,0.8684210777282715
52,529,,,,0.8421052694320679
53,539,,,,0.8684210777282715
54,549,,0.6666666865348816,0.7122312188148499,
54,549,,,,0.8421052694320679
55,559,,,,0.8421052694320679
56,569,,,,0.8421052694320679
57,579,,,,0.8421052694320679
58,580,0.918749988079071,,,
58,580,0.8684210777282715,,,
