epoch,step,test_acc,train_acc,train_loss,val_acc
0,2,,,,0.6842105388641357
1,5,,,,0.6842105388641357
2,8,,,,0.6842105388641357
3,11,,,,0.6842105388641357
4,14,,,,0.6842105388641357
5,17,,,,0.6842105388641357
6,20,,,,0.6842105388641357
7,23,,,,0.6842105388641357
8,26,,,,0.6842105388641357
9,29,,,,0.7105262875556946
10,32,,,,0.7631579041481018
11,35,,,,0.7631579041481018
12,38,,,,0.7631579041481018
13,41,,,,0.7368420958518982
14,44,,,,0.7368420958518982
15,47,,,,0.7368420958518982
16,49,,0.78125,0.493847131729126,
16,50,,,,0.7894737124443054
17,53,,,,0.7368420958518982
18,56,,,,0.7631579041481018
19,59,,,,0.7631579041481018
20,62,,,,0.7894737124443054
21,65,,,,0.8157894611358643
22,68,,,,0.7894737124443054
23,71,,,,0.7631579041481018
24,74,,,,0.7368420958518982
25,77,,,,0.7631579041481018
26,80,,,,0.7368420958518982
27,83,,,,0.7631579041481018
28,86,,,,0.7368420958518982
29,89,,,,0.7105262875556946
30,92,,,,0.7105262875556946
31,95,,,,0.6842105388641357
32,98,,,,0.7368420958518982
33,99,,0.734375,0.5030091404914856,
33,101,,,,0.7105262875556946
34,104,,,,0.6842105388641357
35,107,,,,0.6578947305679321
36,110,,,,0.6842105388641357
37,113,,,,0.6842105388641357
38,116,,,,0.7105262875556946
39,119,,,,0.7105262875556946
40,122,,,,0.7105262875556946
41,125,,,,0.6842105388641357
42,128,,,,0.7368420958518982
43,131,,,,0.7105262875556946
44,134,,,,0.6842105388641357
45,137,,,,0.7105262875556946
46,140,,,,0.7368420958518982
47,143,,,,0.6842105388641357
48,146,,,,0.7105262875556946
49,149,,0.7272727489471436,0.5214346647262573,
49,149,,,,0.7105262875556946
50,152,,,,0.7105262875556946
51,155,,,,0.6842105388641357
52,158,,,,0.6842105388641357
53,161,,,,0.7368420958518982
54,164,,,,0.7105262875556946
55,167,,,,0.7105262875556946
56,170,,,,0.7105262875556946
57,173,,,,0.7368420958518982
58,176,,,,0.7105262875556946
59,179,,,,0.6842105388641357
60,182,,,,0.7105262875556946
61,185,,,,0.7105262875556946
62,188,,,,0.7105262875556946
63,191,,,,0.7105262875556946
64,194,,,,0.7105262875556946
65,197,,,,0.7105262875556946
66,199,,0.734375,0.5691226720809937,
66,200,,,,0.7368420958518982
67,203,,,,0.7368420958518982
68,206,,,,0.7105262875556946
69,209,,,,0.6842105388641357
70,212,,,,0.7368420958518982
71,215,,,,0.6842105388641357
72,218,,,,0.7368420958518982
73,221,,,,0.7368420958518982
74,224,,,,0.7368420958518982
75,227,,,,0.7105262875556946
76,230,,,,0.7368420958518982
77,233,,,,0.7368420958518982
78,236,,,,0.7368420958518982
79,239,,,,0.7105262875556946
80,242,,,,0.7368420958518982
81,245,,,,0.7105262875556946
82,248,,,,0.7368420958518982
83,249,,0.78125,0.4891187846660614,
83,251,,,,0.6842105388641357
84,254,,,,0.7368420958518982
85,257,,,,0.7368420958518982
86,260,,,,0.7368420958518982
87,263,,,,0.7368420958518982
88,266,,,,0.7368420958518982
89,269,,,,0.7368420958518982
90,272,,,,0.7368420958518982
91,275,,,,0.7368420958518982
92,278,,,,0.7368420958518982
93,281,,,,0.7368420958518982
94,284,,,,0.7368420958518982
95,287,,,,0.7368420958518982
96,290,,,,0.7368420958518982
97,293,,,,0.7368420958518982
98,296,,,,0.7368420958518982
99,299,,0.7727272510528564,0.6307691335678101,
99,299,,,,0.7105262875556946
100,302,,,,0.7368420958518982
101,305,,,,0.7368420958518982
102,308,,,,0.7368420958518982
103,311,,,,0.7368420958518982
104,314,,,,0.7368420958518982
105,317,,,,0.7368420958518982
106,320,,,,0.7368420958518982
107,323,,,,0.7368420958518982
108,326,,,,0.7368420958518982
109,329,,,,0.7105262875556946
110,332,,,,0.7368420958518982
111,335,,,,0.7368420958518982
112,338,,,,0.7368420958518982
113,341,,,,0.7368420958518982
114,344,,,,0.7368420958518982
115,347,,,,0.7368420958518982
116,349,,0.765625,0.5388635993003845,
116,350,,,,0.7105262875556946
117,353,,,,0.7105262875556946
118,356,,,,0.7105262875556946
119,359,,,,0.7368420958518982
120,362,,,,0.7105262875556946
121,365,,,,0.7105262875556946
122,368,,,,0.7105262875556946
123,371,,,,0.7368420958518982
124,374,,,,0.7105262875556946
125,377,,,,0.6842105388641357
126,380,,,,0.6842105388641357
127,383,,,,0.7105262875556946
128,386,,,,0.7368420958518982
129,389,,,,0.7105262875556946
130,392,,,,0.6842105388641357
131,395,,,,0.7368420958518982
132,398,,,,0.7105262875556946
133,399,,0.765625,0.43417292833328247,
133,401,,,,0.7105262875556946
134,404,,,,0.7368420958518982
135,407,,,,0.7631579041481018
136,410,,,,0.7368420958518982
137,413,,,,0.7368420958518982
138,416,,,,0.7368420958518982
139,419,,,,0.7368420958518982
140,422,,,,0.6842105388641357
141,425,,,,0.6842105388641357
142,428,,,,0.7105262875556946
143,431,,,,0.7368420958518982
144,434,,,,0.6842105388641357
145,437,,,,0.7105262875556946
146,440,,,,0.7105262875556946
147,443,,,,0.6842105388641357
148,446,,,,0.7368420958518982
149,449,,0.9090909361839294,0.41429272294044495,
149,449,,,,0.7368420958518982
150,452,,,,0.7105262875556946
151,455,,,,0.7105262875556946
152,458,,,,0.7105262875556946
153,461,,,,0.7368420958518982
154,464,,,,0.7368420958518982
155,467,,,,0.7368420958518982
156,470,,,,0.7105262875556946
157,473,,,,0.6842105388641357
158,476,,,,0.7105262875556946
159,479,,,,0.7368420958518982
160,482,,,,0.7368420958518982
161,485,,,,0.7368420958518982
162,488,,,,0.7105262875556946
163,491,,,,0.7368420958518982
164,494,,,,0.7368420958518982
165,497,,,,0.7105262875556946
166,499,,0.8125,0.4364306926727295,
166,500,,,,0.6842105388641357
167,503,,,,0.7105262875556946
168,506,,,,0.7105262875556946
169,509,,,,0.7368420958518982
170,512,,,,0.7105262875556946
171,515,,,,0.6842105388641357
172,518,,,,0.7105262875556946
173,521,,,,0.6842105388641357
174,524,,,,0.6842105388641357
175,527,,,,0.6842105388641357
176,530,,,,0.7105262875556946
177,533,,,,0.6842105388641357
178,536,,,,0.6842105388641357
179,539,,,,0.7368420958518982
180,542,,,,0.7105262875556946
181,545,,,,0.7368420958518982
182,548,,,,0.7368420958518982
183,549,,0.75,0.5322422385215759,
183,551,,,,0.7368420958518982
184,554,,,,0.7105262875556946
185,557,,,,0.7105262875556946
186,560,,,,0.7368420958518982
187,563,,,,0.7368420958518982
188,566,,,,0.6842105388641357
189,569,,,,0.7105262875556946
190,572,,,,0.6842105388641357
191,575,,,,0.7105262875556946
192,578,,,,0.7105262875556946
193,581,,,,0.7105262875556946
194,584,,,,0.7368420958518982
195,587,,,,0.6842105388641357
196,590,,,,0.6842105388641357
197,593,,,,0.6842105388641357
198,596,,,,0.6842105388641357
199,599,,0.7272727489471436,0.503335177898407,
199,599,,,,0.7105262875556946
200,602,,,,0.7368420958518982
201,605,,,,0.7368420958518982
202,608,,,,0.6842105388641357
203,611,,,,0.6842105388641357
204,614,,,,0.6842105388641357
205,617,,,,0.7894737124443054
206,620,,,,0.7368420958518982
207,623,,,,0.7105262875556946
208,626,,,,0.6842105388641357
209,629,,,,0.7368420958518982
210,632,,,,0.7105262875556946
211,635,,,,0.7105262875556946
212,638,,,,0.7368420958518982
213,641,,,,0.7368420958518982
214,644,,,,0.7368420958518982
215,647,,,,0.7105262875556946
216,649,,0.78125,0.4749922752380371,
216,650,,,,0.7105262875556946
217,653,,,,0.7105262875556946
218,656,,,,0.7368420958518982
219,659,,,,0.7105262875556946
220,662,,,,0.7368420958518982
221,665,,,,0.7368420958518982
222,668,,,,0.7368420958518982
223,671,,,,0.7368420958518982
224,674,,,,0.7368420958518982
225,677,,,,0.7105262875556946
226,680,,,,0.7105262875556946
227,683,,,,0.7105262875556946
228,686,,,,0.7105262875556946
229,689,,,,0.7105262875556946
230,692,,,,0.6842105388641357
231,695,,,,0.7368420958518982
232,698,,,,0.7105262875556946
233,699,,0.8125,0.43633508682250977,
233,701,,,,0.6842105388641357
234,704,,,,0.7105262875556946
235,707,,,,0.7368420958518982
236,710,,,,0.7368420958518982
237,713,,,,0.7105262875556946
238,716,,,,0.6842105388641357
239,719,,,,0.6842105388641357
240,722,,,,0.6842105388641357
241,725,,,,0.7368420958518982
242,728,,,,0.7368420958518982
