epoch,step,test_acc,train_acc,train_loss,val_acc
0,2,,,,0.6842105388641357
1,5,,,,0.6842105388641357
2,8,,,,0.6842105388641357
3,11,,,,0.6842105388641357
4,14,,,,0.7894737124443054
5,17,,,,0.6842105388641357
6,20,,,,0.6842105388641357
7,23,,,,0.6315789222717285
8,26,,,,0.7105262875556946
9,29,,,,0.6842105388641357
10,32,,,,0.8157894611358643
11,35,,,,0.7894737124443054
12,38,,,,0.7894737124443054
13,41,,,,0.7894737124443054
14,44,,,,0.7631579041481018
15,47,,,,0.7631579041481018
16,49,,0.890625,0.2711331844329834,
16,50,,,,0.7894737124443054
17,53,,,,0.7894737124443054
18,56,,,,0.7631579041481018
19,59,,,,0.8157894611358643
20,62,,,,0.8157894611358643
21,65,,,,0.7368420958518982
22,68,,,,0.8157894611358643
23,71,,,,0.8421052694320679
24,74,,,,0.8157894611358643
25,77,,,,0.8157894611358643
26,80,,,,0.8421052694320679
27,83,,,,0.8157894611358643
28,86,,,,0.8684210777282715
29,89,,,,0.7894737124443054
30,92,,,,0.8157894611358643
31,95,,,,0.8421052694320679
32,98,,,,0.7631579041481018
33,99,,0.90625,0.23545363545417786,
33,101,,,,0.8421052694320679
34,104,,,,0.7894737124443054
35,107,,,,0.7894737124443054
36,110,,,,0.8421052694320679
37,113,,,,0.7368420958518982
38,116,,,,0.8421052694320679
39,119,,,,0.8157894611358643
40,122,,,,0.8421052694320679
41,125,,,,0.8684210777282715
42,128,,,,0.8684210777282715
43,131,,,,0.8421052694320679
44,134,,,,0.8421052694320679
45,137,,,,0.8157894611358643
46,140,,,,0.8684210777282715
47,143,,,,0.8684210777282715
48,146,,,,0.8421052694320679
49,149,,0.9090909361839294,0.24616971611976624,
49,149,,,,0.8684210777282715
50,152,,,,0.8684210777282715
51,155,,,,0.8684210777282715
52,158,,,,0.8684210777282715
53,161,,,,0.8684210777282715
54,164,,,,0.8684210777282715
55,167,,,,0.8684210777282715
56,170,,,,0.8421052694320679
57,173,,,,0.8421052694320679
58,176,,,,0.8684210777282715
59,179,,,,0.8684210777282715
60,182,,,,0.8421052694320679
61,185,,,,0.8421052694320679
62,188,,,,0.8421052694320679
63,191,,,,0.8421052694320679
64,194,,,,0.8421052694320679
65,197,,,,0.8684210777282715
66,199,,0.859375,0.26433679461479187,
66,200,,,,0.8684210777282715
67,203,,,,0.8684210777282715
68,206,,,,0.8421052694320679
69,207,0.8607954978942871,,,
69,207,0.8684210777282715,,,
